split,class,source,prepared,variant
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.19.44__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.19.44__box002__rotate_270.jpg,rotate_270
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box012.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box012__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box012.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box012__rotate_270.jpg,rotate_270
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box007__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box007__brighter_1.19.jpg,brighter_1.19
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.22.59__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.22.59__box001__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.22.59__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.22.59__box001__rotate_180.jpg,rotate_180
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box004.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box004__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box004.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box004__lower_contrast_0.77.jpg,lower_contrast_0.77
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box008.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box008__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box008.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.53__box008__lower_contrast_0.76.jpg,lower_contrast_0.76
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box001__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box001__brighter_1.21.jpg,brighter_1.21
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box007__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box007__lower_contrast_0.81.jpg,lower_contrast_0.81
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box010.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box010__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box010.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box010__brighter_1.17.jpg,brighter_1.17
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.07__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.07__box007__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.07__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.07__box007__brighter_1.17.jpg,brighter_1.17
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.12.45__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.12.45__box007__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.12.45__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.12.45__box007__brighter_1.27.jpg,brighter_1.27
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__Screenshot_2026-06-01_at_18.17.43__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__Screenshot_2026-06-01_at_18.17.43__box001__original.jpg,original
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__Screenshot_2026-06-01_at_18.17.43__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__Screenshot_2026-06-01_at_18.17.43__box001__lower_contrast_0.77.jpg,lower_contrast_0.77
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__DSCF2718__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__DSCF2718__box002__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__DSCF2718__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__DSCF2718__box002__rotate_90.jpg,rotate_90
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box013.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box013__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box013.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.24.51__box013__brighter_1.17.jpg,brighter_1.17
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__DSCF2619__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__DSCF2619__box001__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__DSCF2619__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__DSCF2619__box001__brighter_1.32.jpg,brighter_1.32
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/approved__DSCF2693__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/approved__DSCF2693__box002__original.jpg,original
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/approved__DSCF2693__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/approved__DSCF2693__box002__rotate_180.jpg,rotate_180
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2673__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2673__box001__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2673__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2673__box001__rotate_90.jpg,rotate_90
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__DSCF2684__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__DSCF2684__box001__original.jpg,original
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__DSCF2684__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__DSCF2684__box001__rotate_90.jpg,rotate_90
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box005.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box005__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box005.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.20.12__box005__lower_contrast_0.75.jpg,lower_contrast_0.75
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2677__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2677__box001__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2677__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2677__box001__brighter_1.35.jpg,brighter_1.35
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.25.30__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.25.30__box007__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.25.30__box007.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.25.30__box007__lower_contrast_0.79.jpg,lower_contrast_0.79
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box006.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box006__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box006.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.19.53__box006__brighter_1.21.jpg,brighter_1.21
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__DSCF2689__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__DSCF2689__box001__original.jpg,original
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/classifier_only__DSCF2689__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/classifier_only__DSCF2689__box001__rotate_180.jpg,rotate_180
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box006.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box006__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box006.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.23.35__box006__lower_contrast_0.69.jpg,lower_contrast_0.69
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box002__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box002.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__Screenshot_2026-06-01_at_18.17.53__box002__lower_contrast_0.75.jpg,lower_contrast_0.75
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/approved__DSCF2693__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/approved__DSCF2693__box001__original.jpg,original
train,Coral,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Coral/approved__DSCF2693__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Coral/approved__DSCF2693__box001__rotate_270.jpg,rotate_270
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.13.37__box011.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.13.37__box011__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.13.37__box011.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.13.37__box011__rotate_90.jpg,rotate_90
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2702__box003.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2702__box003__original.jpg,original
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/classifier_only__DSCF2702__box003.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/classifier_only__DSCF2702__box003__rotate_270.jpg,rotate_270
train,Shell,/Users/mariabuliga/Desktop/Thesis/FuckingFossils/BoxingData/CroppedClassifierSorting/Shell/approved__Screenshot_2026-06-01_at_18.17.16__box001.jpg,/Users/mariabuliga/Desktop/Thesis/FuckingRocks/data/crop_classifier_controlled_aug/dataset/train/Shell/approved__Screenshot_2026-06-01_at_18.17.16__box001__original.jpg,original
